rank,node_id,score
1,23158,0.19468209400595796
2,21684,0.1913770112612421
3,21685,0.1910437649020581
4,23911,0.1909852440406083
5,23913,0.19091913835638247
6,6428,0.17316681824120628
7,6427,0.16635379250740884
8,9402,0.16514220881422867
9,23912,0.15283589979918136
10,2875,0.13781677912180076
11,6459,0.13619931795181192
12,6461,0.12994873691356276
13,10434,0.10653540435228386
14,7022,0.10220392016301308
15,147,0.10214762335524938
16,7152,0.10006312754441768
17,2501,0.09912758489200221
18,6462,0.0981399988232345
19,68262,0.0945500056131646
20,9406,0.08979869065392827
